36,MP241028.2356.H53770,INDTAX02,2.31,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,79545093.9,79545777.59,COLL_0C6VKRG45M_ZK2C-D9EA-T24R-J61E
37,MP241028.2356.H53740,992127297,100,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,84596573.05,84596670.72,COLL_0C6VKRG45M_Y6RK-MDGH-J8GB-I3KN
38,MP241028.2356.H53740,IND03,2,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,84596573.05,84596670.72,COLL_0C6VKRG45M_Y6RK-MDGH-J8GB-I3KN
39,MP241028.2356.H53740,INDTAX02,0.33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,84596573.05,84596670.72,COLL_0C6VKRG45M_Y6RK-MDGH-J8GB-I3KN
40,MP241028.2356.H53728,IND03,1,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,82350047.24,82350096.08,COLL_0C6VKRG45M_VYLC-P64T-5TQP-4CVF
41,MP241028.2356.H53728,INDTAX02,0.165,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,82350047.24,82350096.08,COLL_0C6VKRG45M_VYLC-P64T-5TQP-4CVF
42,MP241028.2356.H53728,996009696,50,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,82350047.24,82350096.08,COLL_0C6VKRG45M_VYLC-P64T-5TQP-4CVF
43,MP241028.2355.L63107,IND03,200,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,bet,113709037.8,113718804.8,
44,MP241028.2355.L63107,999142805,10000,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,bet,113709037.8,113718804.8,
45,MP241028.2355.L63107,INDTAX02,33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,bet,113709037.8,113718804.8,
46,MP241028.2355.H53670,IND03,10,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,83812340.24,83812828.59,COLL_0C6VKRG45M_HSML-MJ5Y-1EG5-51O9
47,MP241028.2355.H53669,IND03,1,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,83678621.27,83678670.11,COLL_0C6VKRG45M_RHNC-S1B8-RM4D-RSOM
48,MP241028.2355.H53669,999106656,50,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,83678621.27,83678670.11,COLL_0C6VKRG45M_RHNC-S1B8-RM4D-RSOM
49,MP241028.2355.H53670,INDTAX02,1.65,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,83812340.24,83812828.59,COLL_0C6VKRG45M_HSML-MJ5Y-1EG5-51O9
50,MP241028.2355.H53669,INDTAX02,0.165,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,83678621.27,83678670.11,COLL_0C6VKRG45M_RHNC-S1B8-RM4D-RSOM
51,MP241028.2355.H53670,995656952,500,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,83812340.24,83812828.59,COLL_0C6VKRG45M_HSML-MJ5Y-1EG5-51O9
52,MP241028.2355.H53634,IND03,20,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,80494952.53,80495929.23,COLL_0C6VKRG45M_WM38-R3HV-IVDU-JOF8
53,MP241028.2355.H53634,INDTAX02,3.3,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,80494952.53,80495929.23,COLL_0C6VKRG45M_WM38-R3HV-IVDU-JOF8
54,MP241028.2355.H53634,995948423,1000,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,80494952.53,80495929.23,COLL_0C6VKRG45M_WM38-R3HV-IVDU-JOF8
55,MP241028.2355.H53632,INDTAX02,0.33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,81280077.68,81280175.35,COLL_0C6VKRG45M_R42H-SD7Q-EWBB-T950
56,MP241028.2355.H53632,IND03,2,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,81280077.68,81280175.35,COLL_0C6VKRG45M_R42H-SD7Q-EWBB-T950
57,MP241028.2355.H53632,983157199,100,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,81280077.68,81280175.35,COLL_0C6VKRG45M_R42H-SD7Q-EWBB-T950
58,MP241028.2354.H53578,IND03,3,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,84276543.51,84276690.02,COLL_0C6VKRG45M_D5SJ-FEM5-ALER-TZUP
59,MP241028.2354.H53578,989227439,150,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,84276543.51,84276690.02,COLL_0C6VKRG45M_D5SJ-FEM5-ALER-TZUP
60,MP241028.2354.H53578,INDTAX02,0.495,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,84276543.51,84276690.02,COLL_0C6VKRG45M_D5SJ-FEM5-ALER-TZUP
61,MP241028.2354.H53571,993381200,0,28-Oct-24,MR,998431577,Merchant Payment,Transaction Failed,WSB Deposit,83857171.96,83857171.96,COLL_0C6VKRG45M_KK9W-MXU8-ZG7U-SRBM
62,MP241028.2354.H53571,IND03,0,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Failed,WSB Deposit,83857171.96,83857171.96,COLL_0C6VKRG45M_KK9W-MXU8-ZG7U-SRBM
63,MP241028.2354.H53571,INDTAX02,0,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Failed,WSB Deposit,83857171.96,83857171.96,COLL_0C6VKRG45M_KK9W-MXU8-ZG7U-SRBM
64,MP241028.2354.H53553,IND03,6,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,80988964.77,80989257.78,COLL_0C6VKRG45M_QCQH-T4UL-ZQXX-FKWM
65,MP241028.2354.H53553,INDTAX02,0.99,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,80988964.77,80989257.78,COLL_0C6VKRG45M_QCQH-T4UL-ZQXX-FKWM
66,MP241028.2354.H53553,992127297,300,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,80988964.77,80989257.78,COLL_0C6VKRG45M_QCQH-T4UL-ZQXX-FKWM
67,MP241028.2354.H53545,INDTAX02,0.99,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-115340047.6,-115339754.6,COLL_0C6VKRG45M_BJ5V-CQH3-5BYP-ZTSZ
68,MP241028.2354.H53545,IND03,6,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-115340047.6,-115339754.6,COLL_0C6VKRG45M_BJ5V-CQH3-5BYP-ZTSZ
69,MP241028.2354.H53545,990375832,300,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-115340047.6,-115339754.6,COLL_0C6VKRG45M_BJ5V-CQH3-5BYP-ZTSZ
70,MP241028.2354.H53539,INDTAX02,1.65,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-185317125.3,-185316636.9,COLL_0C6VKRG45M_RHL8-5UH0-6R6T-3IME
71,MP241028.2354.H53539,IND03,10,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-185317125.3,-185316636.9,COLL_0C6VKRG45M_RHL8-5UH0-6R6T-3IME
72,MP241028.2354.H53539,994707963,500,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-185317125.3,-185316636.9,COLL_0C6VKRG45M_RHL8-5UH0-6R6T-3IME
73,MP241028.2353.S03350,994593399,80,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,1616,-286041512.1,-286041434,
74,MP241028.2353.S03350,INDTAX02,0.264,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,1616,-286041512.1,-286041434,
75,MP241028.2353.S03350,IND03,1.6,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,1616,-286041512.1,-286041434,
76,MP241028.2352.H53419,993370801,100,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-188751819.9,-188751722.2,COLL_0C6VKRG45M_WG35-3TYE-5A2Y-U234
77,MP241028.2352.H53419,INDTAX02,0.33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-188751819.9,-188751722.2,COLL_0C6VKRG45M_WG35-3TYE-5A2Y-U234
78,MP241028.2352.H53419,IND03,2,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-188751819.9,-188751722.2,COLL_0C6VKRG45M_WG35-3TYE-5A2Y-U234
79,MP241028.2350.H53267,995633364,300,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-815188260.6,-815187967.6,COLL_0C6VKRG45M_S6AB-HHN0-SH0R-UH3O
80,MP241028.2350.H53267,INDTAX02,0.99,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-815188260.6,-815187967.6,COLL_0C6VKRG45M_S6AB-HHN0-SH0R-UH3O
81,MP241028.2350.H53267,IND03,6,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-815188260.6,-815187967.6,COLL_0C6VKRG45M_S6AB-HHN0-SH0R-UH3O
82,MP241028.2350.H53250,INDTAX02,3.2967,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-84448462.92,-84447487.19,COLL_0C6VKRG45M_3RBD-390J-PJW0-K1D6
83,MP241028.2350.H53250,IND03,19.98,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-84448462.92,-84447487.19,COLL_0C6VKRG45M_3RBD-390J-PJW0-K1D6
84,MP241028.2350.H53250,991373346,999,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-84448462.92,-84447487.19,COLL_0C6VKRG45M_3RBD-390J-PJW0-K1D6
85,MP241028.2350.H53237,INDTAX02,0,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Failed,WSB Deposit,-102449874.4,-102449874.4,COLL_0C6VKRG45M_IYZL-IXCV-HOKG-97K3
86,MP241028.2350.H53237,983157199,0,28-Oct-24,MR,998431577,Merchant Payment,Transaction Failed,WSB Deposit,-102449874.4,-102449874.4,COLL_0C6VKRG45M_IYZL-IXCV-HOKG-97K3
87,MP241028.2350.H53237,IND03,0,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Failed,WSB Deposit,-102449874.4,-102449874.4,COLL_0C6VKRG45M_IYZL-IXCV-HOKG-97K3
88,MP241028.2350.D62244,INDTAX02,0.66,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,1,-147741427.5,-147741232.2,
89,MP241028.2350.D62244,989905200,200,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,1,-147741427.5,-147741232.2,
90,MP241028.2350.D62244,IND03,4,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,1,-147741427.5,-147741232.2,
91,MP241028.2349.H53171,993817406,0,28-Oct-24,MR,998431577,Merchant Payment,Transaction Failed,WSB Deposit,-195997102.1,-195997102.1,COLL_0C6VKRG45M_ZT22-2AJJ-MR7F-GQ5Q
92,MP241028.2349.H53171,IND03,0,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Failed,WSB Deposit,-195997102.1,-195997102.1,COLL_0C6VKRG45M_ZT22-2AJJ-MR7F-GQ5Q
93,MP241028.2349.H53171,INDTAX02,0,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Failed,WSB Deposit,-195997102.1,-195997102.1,COLL_0C6VKRG45M_ZT22-2AJJ-MR7F-GQ5Q
94,MP241028.2349.H53167,IND03,1,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-234071171.6,-234071122.8,COLL_0C6VKRG45M_OIO0-ZE81-GYYR-2UKY
95,MP241028.2349.H53166,IND03,14,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-140749711.4,-140749027.7,COLL_0C6VKRG45M_L9JF-1BS8-NSBB-TKWA
96,MP241028.2349.H53166,997417304,700,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-140749711.4,-140749027.7,COLL_0C6VKRG45M_L9JF-1BS8-NSBB-TKWA
97,MP241028.2349.H53167,990947778,50,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-234071171.6,-234071122.8,COLL_0C6VKRG45M_OIO0-ZE81-GYYR-2UKY
98,MP241028.2349.H53166,INDTAX02,2.31,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-140749711.4,-140749027.7,COLL_0C6VKRG45M_L9JF-1BS8-NSBB-TKWA
99,MP241028.2349.H53167,INDTAX02,0.165,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-234071171.6,-234071122.8,COLL_0C6VKRG45M_OIO0-ZE81-GYYR-2UKY
100,MP241028.2349.H53129,IND03,14,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-146007260.8,-146006577.1,COLL_0C6VKRG45M_RO7U-2FG9-IFZZ-B4HO
101,MP241028.2349.H53129,INDTAX02,2.31,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-146007260.8,-146006577.1,COLL_0C6VKRG45M_RO7U-2FG9-IFZZ-B4HO
102,MP241028.2349.H53129,997417304,700,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-146007260.8,-146006577.1,COLL_0C6VKRG45M_RO7U-2FG9-IFZZ-B4HO
103,MP241028.2348.H53073,INDTAX02,16.5,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-218354074.4,-218349190.9,COLL_0C6VKRG45M_MTLH-G8C0-SX45-L76Y
104,MP241028.2348.H53073,IND03,100,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-218354074.4,-218349190.9,COLL_0C6VKRG45M_MTLH-G8C0-SX45-L76Y
105,MP241028.2348.H53073,996741705,5000,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-218354074.4,-218349190.9,COLL_0C6VKRG45M_MTLH-G8C0-SX45-L76Y
106,MP241028.2348.H53055,982064526,135,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-240473213,-240473081.1,COLL_0C6VKRG45M_SUJR-H918-CK8T-M7VH
107,MP241028.2348.H53055,INDTAX02,0.4455,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-240473213,-240473081.1,COLL_0C6VKRG45M_SUJR-H918-CK8T-M7VH
108,MP241028.2348.H53055,IND03,2.7,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-240473213,-240473081.1,COLL_0C6VKRG45M_SUJR-H918-CK8T-M7VH
109,MP241028.2348.H53040,IND03,100,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-182103563.6,-182098680.1,COLL_0C6VKRG45M_19NV-IZS8-VU5X-J8LO
110,MP241028.2348.H53040,INDTAX02,16.5,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-182103563.6,-182098680.1,COLL_0C6VKRG45M_19NV-IZS8-VU5X-J8LO
111,MP241028.2348.H53040,994680124,5000,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-182103563.6,-182098680.1,COLL_0C6VKRG45M_19NV-IZS8-VU5X-J8LO
112,MP241028.2348.H53019,INDTAX02,0.33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-264301983.5,-264301885.8,COLL_0C6VKRG45M_SDL5-YY5K-5MXJ-8FCA
113,MP241028.2348.H53019,996049646,100,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-264301983.5,-264301885.8,COLL_0C6VKRG45M_SDL5-YY5K-5MXJ-8FCA
114,MP241028.2348.H53019,IND03,2,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-264301983.5,-264301885.8,COLL_0C6VKRG45M_SDL5-YY5K-5MXJ-8FCA
115,MP241028.2347.H52996,995633364,100,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-153731916.1,-153731818.4,COLL_0C6VKRG45M_1I0G-TP7D-G43Q-1AN8
116,MP241028.2347.H52996,INDTAX02,0.33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-153731916.1,-153731818.4,COLL_0C6VKRG45M_1I0G-TP7D-G43Q-1AN8
117,MP241028.2347.H52996,IND03,2,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-153731916.1,-153731818.4,COLL_0C6VKRG45M_1I0G-TP7D-G43Q-1AN8
118,MP241028.2347.I62493,IND03,40,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,999672345,-274467892.2,-274465938.8,
119,MP241028.2347.I62493,INDTAX02,6.6,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,999672345,-274467892.2,-274465938.8,
120,MP241028.2347.I62493,999672345,2000,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,999672345,-274467892.2,-274465938.8,
121,MP241028.2347.H52976,IND03,2,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-220509702,-220509604.3,COLL_0C6VKRG45M_SQ0X-WXTZ-M2Z6-Q22R
122,MP241028.2347.H52976,995885945,100,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-220509702,-220509604.3,COLL_0C6VKRG45M_SQ0X-WXTZ-M2Z6-Q22R
123,MP241028.2347.H52976,INDTAX02,0.33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-220509702,-220509604.3,COLL_0C6VKRG45M_SQ0X-WXTZ-M2Z6-Q22R
124,MP241028.2346.H52935,INDTAX02,0.66,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-711491275.8,-711491080.5,COLL_0C6VKRG45M_51EL-8DF6-NOEW-0AOU
125,MP241028.2346.H52935,IND03,4,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,-711491275.8,-711491080.5,COLL_0C6VKRG45M_51EL-8DF6-NOEW-0AOU
126,MP241028.2346.H52935,993370801,200,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,-711491275.8,-711491080.5,COLL_0C6VKRG45M_51EL-8DF6-NOEW-0AOU
127,MP241028.2345.H52833,IND03,14,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,523580413.9,523581097.5,COLL_0C6VKRG45M_AAI6-GPD6-QUP1-WB6A
128,MP241028.2345.H52833,997544692,700,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,523580413.9,523581097.5,COLL_0C6VKRG45M_AAI6-GPD6-QUP1-WB6A
129,MP241028.2345.H52833,INDTAX02,2.31,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,523580413.9,523581097.5,COLL_0C6VKRG45M_AAI6-GPD6-QUP1-WB6A
130,MP241028.2344.H52721,992953358,100,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,529695258.7,529695356.4,COLL_0C6VKRG45M_L1O1-9G6R-WN1C-PZEV
131,MP241028.2344.H52721,IND03,2,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,529695258.7,529695356.4,COLL_0C6VKRG45M_L1O1-9G6R-WN1C-PZEV
132,MP241028.2344.H52721,INDTAX02,0.33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,529695258.7,529695356.4,COLL_0C6VKRG45M_L1O1-9G6R-WN1C-PZEV
